pair_id,query_id,product_id,raw_response,gpt_score,rationale,parse_status,model_label,run_date,relevance,query,title,brand
548_B08R3HNZKQ,548,B08R3HNZKQ,"{""score"": 0, ""rationale"": ""The product is a cab marker light kit, not a tailgate or related accessory.""}",0,"The product is a cab marker light kit, not a tailgate or related accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T06:46:04.056542+00:00,0,06 tailgate without clearance lights,"Cab Marker Lights, Nifeida 12LED Cab Roof Top Lamp Clearance Running Light Replacement Kit for 2003-2018 Dodge Ram 1500 2500 3500 4500 5500 Pickup Truck(5Pack) (Smoke Lens)",nifeida
102172_B07JN9PDV3,102172,B07JN9PDV3,"{""score"": 0, ""rationale"": ""The product is a different title, not related to the queried work.""}",0,"The product is a different title, not related to the queried work.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T06:46:05.024258+00:00,0,the man in the high castle,The Man In The Iron Mask,
5743_B07NZT42Q4,5743,B07NZT42Q4,"{""score"": 0, ""rationale"": ""The product is a bath wrap, not a laptop or related accessory.""}",0,"The product is a bath wrap, not a laptop or related accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T06:46:06.042163+00:00,0,Nice new top of the range laptop with maybe where the screen comes away on it's own,"TowelSoft Terry Bath Wraps with Shoulder Straps for Girls, Spa Body Wrap Towel Red",TowelSoft
17373_B07HMWK4C2,17373,B07HMWK4C2,"{""score"": 2, ""rationale"": ""The product is a camera-equipped drone but its color is unspecified, so it may not meet the 'blue' requirement.""}",2,"The product is a camera-equipped drone but its color is unspecified, so it may not meet the 'blue' requirement.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:08.449580+00:00,2,blue drone with camera,"Quadcopter Drone With Camera Live Video, EACHINE E58 WiFi FPV Quadcopter with 120° FOV 720P HD Camera Foldable Drone RTF -25 mins flight time, Altitude Hold, One Key Take Off/Landing,（3Pcs Batteries）",EACHINE
75440_B08BZK1SF6,75440,B08BZK1SF6,"{""score"": 2, ""rationale"": ""The product is a different Olight flashlight model, not the PL Mini 2, but could serve as a substitute.""}",2,"The product is a different Olight flashlight model, not the PL Mini 2, but could serve as a substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:09.903165+00:00,2,olight pl mini 2,Olight PL-PRO Valkyrie 1500 Lumens NW LED Magnetic Rechargeable Tactical Flashlight with Rail Adapter and Built-in Battery (Gunmetal Grey),SKYBEN
94884_B083BQZV89,94884,B083BQZV89,"{""score"": 0, ""rationale"": ""The item is a garden flag stand, not a flag for a small sackpack front.""}",0,"The item is a garden flag stand, not a flag for a small sackpack front.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:11.356742+00:00,0,small sackpack front flag,"YEAHOME Garden Flag Holder Stand, 6mm Weather-Proof Yard Flag Pole Black Metal Powder-Coated Flagpole with Tiger Clip and Rubber Stopper for Garden Flags Outdoor Decoration",YEAHOME
105424_B01COZ2H36,105424,B01COZ2H36,"{""score"": 3, ""rationale"": ""The query appears to be a typo for 'travel pillow', and the product is a travel pillow.""}",3,"The query appears to be a typo for 'travel pillow', and the product is a travel pillow.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:12.735956+00:00,2,trtlpillow,"BCOZZY Chin Supporting Travel Pillow- Unique Patented Design Offers 3 Ergonomic Ways to Support The Head, Neck, and Chin When Traveling and at Home. Fully Washable. Large, Gray",BCOZZY
1024_B08RX2CCPQ,1024,B08RX2CCPQ,"{""score"": 0, ""rationale"": ""Product includes blue‑light blocking and is marketed for men, not matching the request for women’s non‑blocking 1.75 glasses.""}",0,"Product includes blue‑light blocking and is marketed for men, not matching the request for women’s non‑blocking 1.75 glasses.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:14.001053+00:00,0,1.75 reading glasses women without blue light blocking,Blue Light Blocking Reading Glasses for Men - 2 Pack Anti Glare Computer Readers with Spring Hinge Magnification Eyeglasses 1.75,RaoOG
9102_B07KXW61M8,9102,B07KXW61M8,"{""score"": 0, ""rationale"": ""The product is a onesie costume, not an angel-themed shirt from Stitch.""}",0,"The product is a onesie costume, not an angel-themed shirt from Stitch.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:15.442997+00:00,0,angel shirt from stitch,ROYAL WIND Adult Onesie Costume Pajama Anime for Women Men and Teenagers Birthday,ROYAL WIND
1005_B07F2MFYL3,1005,B07F2MFYL3,"{""score"": 2, ""rationale"": ""Provides 1.50 reading glasses for men but lacks XL size and nose‑piece‑free specification.""}",2,Provides 1.50 reading glasses for men but lacks XL size and nose‑piece‑free specification.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:16.903552+00:00,3,1.50 mens xl reading glasses without nose piece,"5 Pairs Reading Glasses - Standard Fit Spring Hinge Readers Glasses for Men and Women (5 Pack Mix Color, 1.50)",NORPERWIS
