pair_id,query_id,product_id,raw_response,gpt_score,rationale,parse_status,model_label,run_date
548_B08R3HNZKQ,548,B08R3HNZKQ,"{""score"": 0, ""rationale"": ""The product is a cab marker light kit, not a tailgate or related accessory.""}",0,"The product is a cab marker light kit, not a tailgate or related accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T06:46:04.056542+00:00
102172_B07JN9PDV3,102172,B07JN9PDV3,"{""score"": 0, ""rationale"": ""The product is a different title, not related to the queried work.""}",0,"The product is a different title, not related to the queried work.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T06:46:05.024258+00:00
5743_B07NZT42Q4,5743,B07NZT42Q4,"{""score"": 0, ""rationale"": ""The product is a bath wrap, not a laptop or related accessory.""}",0,"The product is a bath wrap, not a laptop or related accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T06:46:06.042163+00:00
17373_B07HMWK4C2,17373,B07HMWK4C2,"{""score"": 2, ""rationale"": ""The product is a camera-equipped drone but its color is unspecified, so it may not meet the 'blue' requirement.""}",2,"The product is a camera-equipped drone but its color is unspecified, so it may not meet the 'blue' requirement.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:08.449580+00:00
75440_B08BZK1SF6,75440,B08BZK1SF6,"{""score"": 2, ""rationale"": ""The product is a different Olight flashlight model, not the PL Mini 2, but could serve as a substitute.""}",2,"The product is a different Olight flashlight model, not the PL Mini 2, but could serve as a substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:09.903165+00:00
94884_B083BQZV89,94884,B083BQZV89,"{""score"": 0, ""rationale"": ""The item is a garden flag stand, not a flag for a small sackpack front.""}",0,"The item is a garden flag stand, not a flag for a small sackpack front.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:11.356742+00:00
105424_B01COZ2H36,105424,B01COZ2H36,"{""score"": 3, ""rationale"": ""The query appears to be a typo for 'travel pillow', and the product is a travel pillow.""}",3,"The query appears to be a typo for 'travel pillow', and the product is a travel pillow.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:12.735956+00:00
1024_B08RX2CCPQ,1024,B08RX2CCPQ,"{""score"": 0, ""rationale"": ""Product includes blue‑light blocking and is marketed for men, not matching the request for women’s non‑blocking 1.75 glasses.""}",0,"Product includes blue‑light blocking and is marketed for men, not matching the request for women’s non‑blocking 1.75 glasses.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:14.001053+00:00
9102_B07KXW61M8,9102,B07KXW61M8,"{""score"": 0, ""rationale"": ""The product is a onesie costume, not an angel-themed shirt from Stitch.""}",0,"The product is a onesie costume, not an angel-themed shirt from Stitch.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:15.442997+00:00
1005_B07F2MFYL3,1005,B07F2MFYL3,"{""score"": 2, ""rationale"": ""Provides 1.50 reading glasses for men but lacks XL size and nose‑piece‑free specification.""}",2,Provides 1.50 reading glasses for men but lacks XL size and nose‑piece‑free specification.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:16.903552+00:00
