pair_id,relevance
548_B08R3HNZKQ,0
102172_B07JN9PDV3,0
5743_B07NZT42Q4,0
74120_B08WPQD58D,0
68736_B010PEM0GC,0
58015_1414387520,0
18485_B0871MDP5R,0
98139_B06XQHMCNN,0
19011_B0855RBTMG,0
6845_B077VTX4KZ,0
105701_B00FSDBFD0,0
54511_B07DC877RF,0
63818_B07DLCF3FR,0
17060_B0100R3PBS,0
23365_B0897L25LZ,0
97499_B07YYSMX6S,0
107733_B07MQ1BV89,0
12260_B07L5R293H,0
41709_B095Z3FD9J,0
1669_B009AO0D9K,0
108810_B08CWCG2BF,0
64591_B016NY7784,0
194_B019JI9SZQ,0
89520_B0001LUG2K,0
91447_B01J2PTI7Y,0
10125_B07DM5LBK5,0
2963_B086X4PN48,0
98046_B00PSSG4UO,0
359_B0821S1TZG,0
44022_B07NWNPD5N,0
85118_B01D6TGVHW,0
75296_B07P1FX1PV,0
112029_B082PTCH1H,0
94884_B083BQZV89,0
30592_B007XYIWGA,0
69342_B07C9X1W8K,0
73183_B07M6SR7PX,0
45211_B01LD5XNTU,0
32164_B07L5TPLKZ,0
10125_B001UW9Z6M,0
113088_B01DTXOETM,0
31520_B07ZG4W5GX,0
45218_B078WY2VTB,0
87770_B07FQ6SDKY,0
96279_B07D493RWR,0
52222_B01CMM8GU4,0
57622_B07MM5T7YW,0
40609_B07M5TPM8Q,0
8938_1250262968,0
68443_B073XS3CHW,0
764_B00KEJAARA,0
1415_B01IOBYCEG,0
11924_B00IVDVWV4,0
8424_B01C6AFDM6,0
102588_B07MXGXNDD,0
66516_B07RZHKKQW,0
52848_B07TB596SL,0
24317_B08GS54QT1,0
42449_B07N116D3C,0
62495_B08LQTGGQN,0
52479_B07V4FXG1Z,0
48017_B07RN9BLM4,0
35370_B072KFVMWB,0
48559_B07G399ZYW,0
59323_B007ILYINE,0
105173_B07C863THH,0
106439_B00QSOS130,0
694_B003W0JWCC,0
925_B00FL8LL7M,0
19619_B01N7TW187,0
47401_B01IF7KODW,0
12101_B07PH4649G,0
1755_3740812176,0
1088_B01HPCWUDK,0
71921_B07ZP8BVQB,0
106764_B081THHSW4,0
53284_B07T3QDHDL,0
53393_1951056779,0
43685_B084QMKN3F,0
95744_B082M3L342,0
11619_B075T39QB7,0
5689_B01HFFXLNA,0
102700_B07HPCGMLW,0
49911_B010SYU1OW,0
9102_B07KXW61M8,0
89375_B00E3MHEZ0,0
109752_B00UM4E0VE,0
36969_B00W4WDK5E,0
105483_B0948NMZ1F,0
64479_B00YTFDIQ0,0
70422_0385372833,0
98472_B01MRLZ43B,0
48187_B076FYJXGN,0
1024_B08RX2CCPQ,0
109275_B07X8HRLJJ,0
20519_1551432331,0
57532_B07NRXM6TH,0
107980_B07DLPDZH5,0
53171_B0744PTT8F,0
85118_B07JMHNHY7,0
72355_B004PVR6V6,1
7839_B084DGCM79,1
101609_B07SH8WH4F,1
99601_B07X8HYQR4,1
86327_B07P1CJFT5,1
58971_B07V7GQWJC,1
52169_B07PPLX6L8,1
115838_B007AQ3MMK,1
95214_B083FLGKBN,1
21887_B00YBNSMKC,1
40445_B07T5RK766,1
67570_B076PNZTHC,1
63025_B00513BH58,1
70230_B079CR71SL,1
39081_B082QV3Z49,1
82858_B075738TNB,1
78470_B07PJ41WPD,1
97201_B07RYTPZ7Q,1
200_B08HQ6DLXZ,1
51025_B0861BY9PJ,1
1167_B019XGM9K0,1
9800_B088F9MFSH,1
66391_B079K31W9R,1
17509_B0797GW888,1
1857_B07KPKVF45,1
43968_B08BNNCH1D,1
101609_B07LB3YSHH,1
89749_B071ZG8Q7B,1
11248_B08KXW6WV6,1
32773_B08BYMTMK4,1
66893_B01N78U5CP,1
110878_B07DPC38KQ,1
18269_0399580107,1
58922_B00KRRHKMW,1
58971_B01BFGL1AK,1
35126_B012Y5NI1Q,1
50997_B07NZZZ5ZL,1
66893_B00XR42U6I,1
83886_B087RK4VDX,1
62194_B00114LGSE,1
74567_B07KMLPP54,1
70931_B07TKSRYY1,1
109347_B000EVEL1O,1
52213_B01FVW3EXG,1
111753_B011B4UX5U,1
98273_B07F28KNG1,1
7475_B01MZ4LZ30,1
14328_B07QW563YZ,1
80448_B0797CMZ15,1
57007_B07M5NPSDN,1
7522_B07ZZG8DH7,1
25415_B09G746GCR,1
8384_B07H23DNXJ,1
101609_B07T4B4D7S,1
6055_B08XB3Y63B,1
51699_B07PBWFCDV,1
6298_B07GM2TCPM,1
7839_B08GYGKFWC,1
2501_B071KWLJH6,1
87180_B01LMO55KM,1
103424_B0048W5OQ6,1
85589_B07GBRV9Q9,1
65439_B0868FKNTN,1
60122_B000WNL5QS,1
9907_B081CFNXCW,1
51686_B074KTXNZF,1
75306_B07X23SXHD,1
54641_B07GZ2JXDH,1
107496_B01LPNKGGI,1
68974_B085RRVPQV,1
88808_B06X1CHFJ5,1
101108_B0779GZQHB,1
53752_B07CVW4JCS,1
55891_B004LR5NEG,1
22824_B07M8L64L4,1
23970_B00GTK94LQ,1
7538_B0836GDKS9,1
101108_B0787DZDHT,1
8777_B07VN4ZQ3N,1
46208_B0155MYI0U,1
98497_B07FLX5Y7F,1
102365_0882848623,1
62480_B07JZ56HL7,1
93654_B07QF2Q81H,1
94609_B007RL5S0W,1
98164_B00OFO1CI6,1
31067_B07H6KNP9R,1
48017_B00NAAUQLU,1
24835_B00LIAHSM4,1
80465_B00O8U3ZI2,1
7839_B0759J2NDC,1
6298_B01E9GBRU2,1
102547_B07FQW9K4R,1
58256_B08268W4LT,1
109347_B0002SJ1K0,1
81992_B06XTKM2GJ,1
96996_B07Q2SX3MR,1
5888_B00E8HNKT4,1
20080_B0006ZH782,1
54641_B07XK86YYD,1
63372_B07PPQM797,2
61178_B07KSDZV4M,2
41957_B07C3FKJF7,2
42627_B07D1RJ91J,2
16770_B07YDWLD6R,2
19331_B07TPZ5JZB,2
50617_B083FYGP1F,2
14177_B07N1FXB9T,2
50268_B01LZWO8T2,2
17373_B07HMWK4C2,2
105424_B01COZ2H36,2
40285_B00ELLCK4I,2
104485_B08L9Y1W9S,2
46383_B08L3SW7Z4,2
105474_B07S4CPDGG,2
115762_B07RN64P2R,2
2062_B009AGAAZK,2
23173_B07PJ654MK,2
99087_B01FKWDTK0,2
89108_B01IRCAUXO,2
1665_B08YR59CDZ,2
48658_B07VR8HC4X,2
1665_B00WTSCXIS,2
5689_B07FK94YHD,2
3378_B019YHK05Y,2
6973_B085MXBDYM,2
70525_B086244MP5,2
2979_B006LN7XAK,2
26265_B07BV7R9F8,2
75925_B07PLXKSSW,2
110147_B087TC7DFS,2
20352_B077T78C4V,2
92130_B08X11HGPG,2
79518_B06XXB97TM,2
73056_B07XJ8TWFQ,2
83407_B00EISBC0W,2
89705_B0741VRGQJ,2
109613_B07PMQRKSY,2
46976_B00Y2862VC,2
78486_B07VBMR9WT,2
38174_1259708799,2
108714_B01NCTY3HW,2
52045_B01H1R0K68,2
15124_B07K778RV9,2
37743_1936022834,2
34036_B07567P7Q8,2
97128_B0016AJC5W,2
12343_B00A2KVMX2,2
5259_B00JJIEE4M,2
76775_B08FVR2X77,2
35690_B01NAIX3Q7,2
9011_B071WL718C,2
19242_B01N6TD7UI,2
26011_B01801AW6C,2
74705_B00822Y04U,2
5184_B016V6U6CI,2
88842_B01MSBQB1P,2
8038_1476753830,2
50919_B07PMDTHL4,2
10329_B07T1Q7YMS,2
62321_B06XNJT6MJ,2
17451_B08BG5VZCB,2
105693_B074X9ZCP2,2
102454_B013FU4Y9E,2
78202_B07FSN77ZD,2
3371_B00009W5KJ,2
41429_B07R645F4Z,2
27439_B001SBAH94,2
61231_B00JYD5AGI,2
50987_B001D78PCE,2
76733_B01GW8Y3O2,2
50750_B075WSLRFQ,2
93875_B01NCZWP20,2
1441_B07FPFVD7K,2
81100_B07RN27YRN,2
60478_B00E97HEW2,2
48654_B07X7CNYQH,2
32966_B072BRWGR6,2
114906_B07HF4FGDK,2
35528_B01MXE8MYR,2
75440_B08BZK1SF6,2
4903_B08YJC2JN8,2
77486_B07B5T3PPQ,2
99896_B07DH4B8JV,2
111286_B08NX4T94B,2
49829_B01MU72B43,2
34582_B0002PXXFM,2
69079_B07DKWQGYQ,2
9757_B087C5GK23,2
88928_B07JL9ZS35,2
567_B07WD6G42D,2
17361_B071XH34JV,2
21506_B07SB1ZZTK,2
90442_B086KMYNSS,2
31853_B08S3GBHL8,2
712_B092QWB2WF,2
64521_B07KG6TR7X,2
