pair_id,query_id,product_id,query,title,brand,product_text
17373_B07HMWK4C2,17373,B07HMWK4C2,blue drone with camera,"Quadcopter Drone With Camera Live Video, EACHINE E58 WiFi FPV Quadcopter with 120° FOV 720P HD Camera Foldable Drone RTF -25 mins flight time, Altitude Hold, One Key Take Off/Landing,（3Pcs Batteries）",EACHINE,"Take HD pictures and videos, enjoy FPV function: The E58 drone is equipped with a 120° Wide-angle 720P HD Camera including adjustable angle, which captures high-quality video and clear aerial photos. The Wi-Fi real-time transmission FPV system can connect to your phone with the drone and the view will be shown directly on your phone, thus enjoy the world above the horizon, accurately capture photo"
75440_B08BZK1SF6,75440,B08BZK1SF6,olight pl mini 2,Olight PL-PRO Valkyrie 1500 Lumens NW LED Magnetic Rechargeable Tactical Flashlight with Rail Adapter and Built-in Battery (Gunmetal Grey),SKYBEN,"The PL-PRO Valkyrie (PL-PRO) is the rechargeable version of the best-selling tactical flashlight PL-2.
Powered by a built-in rechargeable battery, the PL-PRO delivers two adjustable outputs; 1,500 and 300 lumens.
The rail adapter allows the PL-PRO to be installed on tactical flashlight with a MIL-STD-1913 or GL rail.
It uses a heavy-duty quick attach and release mounting system along with the ambi"
94884_B083BQZV89,94884,B083BQZV89,small sackpack front flag,"YEAHOME Garden Flag Holder Stand, 6mm Weather-Proof Yard Flag Pole Black Metal Powder-Coated Flagpole with Tiger Clip and Rubber Stopper for Garden Flags Outdoor Decoration",YEAHOME,"【STURDY AND MAINTAIN STRAIGHT】- 7.5mm thickened steel stand, High-quality wrought metal with black powder coated flagpole definitely bear more weight without bending and keep the flag stand more straight than Others thin pole. Sturdy and durable enough not to fall over on a windy day or rainy weather.
【EASY ASSEMBLE AND INSTALL】- It's very easy to assemble and comes with instructions. Our garden f"
105424_B01COZ2H36,105424,B01COZ2H36,trtlpillow,"BCOZZY Chin Supporting Travel Pillow- Unique Patented Design Offers 3 Ergonomic Ways to Support The Head, Neck, and Chin When Traveling and at Home. Fully Washable. Large, Gray",BCOZZY,"THE BCOZZY PILLOW IS THE ONLY NECK PILLOW THAT STOPS THE HEAD FROM FALLING FORWARD- The double adjustable loop in the front provides a comfy chin-rest when sitting, and the narrow back is not pushing the head forward. The BCOZZY travel pillow helps to relax and prevent neck pain or sore shoulders.
A UNIQUE DESIGN ALLOWS 3 ERGONOMIC WAYS TO SUPPORT YOUR HEAD- You can adjust the BCOZZY ergonomic pil"
1024_B08RX2CCPQ,1024,B08RX2CCPQ,1.75 reading glasses women without blue light blocking,Blue Light Blocking Reading Glasses for Men - 2 Pack Anti Glare Computer Readers with Spring Hinge Magnification Eyeglasses 1.75,RaoOG,"💎【Anti Harmful Blue Light Glasses】Blue light blocker&UV400 Lenses, Alleviates visual fatigue and discomfort from browsing mobile phones,tablets, gaming and working under fluorescent lights with UVA/UVB protection and glare reduction.
💎【Resin Spring Hinge Frame】Ultra-light and flexible resin frame material for durability and comfortable long-term wearing. Casual frame design keeps you looking profe"
9102_B07KXW61M8,9102,B07KXW61M8,angel shirt from stitch,ROYAL WIND Adult Onesie Costume Pajama Anime for Women Men and Teenagers Birthday,ROYAL WIND,"✅ According Height to choose size---S (Small) 150-162cm[59-63.7""], M (Medium) 163-172cm[64.17-67.7""], L (Large) 173-178cm[68.1-70""], XL (X-Large) 179-188cm[70.4-74""]
✅ BETTER QUALITY: The face on pajama's hood is well sewn. The nose and tail are stuffed. Made of fleece, stitch onesie is warm and also durable. The pictures are of the actual item.
✅ BAGGY DESIGN: You may find the pajama very large b"
1005_B07F2MFYL3,1005,B07F2MFYL3,1.50 mens xl reading glasses without nose piece,"5 Pairs Reading Glasses - Standard Fit Spring Hinge Readers Glasses for Men and Women (5 Pack Mix Color, 1.50)",NORPERWIS,"5 Pairs of Unisex Vintage Round Frame Readers at 1 Low Price
Aren’t you tired of paying steep prices for flimsy glasses that look cheap? Allow your personal style to shine through with 5 Pairs of superbly crafted, ingenious stylishly designer reading glasses.
Multi Color Collection: Multiple colors to choose from.You can optionally change to different color when you are in different occasion。
Valu"
109275_B07X8HRLJJ,109275,B07X8HRLJJ,w & w lifetime,"DasMarine 2Pack of 7 inch Hatch Round Non Slip Inspection Hatch w/Detachable Cover for Marine Boat Yacht, 10"" External Diameter, 7"" Opening Size (Black)",DasMarine,"【Material:】Made of ABS material, anti-aging, anti-corrosive
【Interior and Exterior :】Weather-tight and O-ring sealed deck plates are ideal for interior and exterior applications
【Easy To Install】: Separate cover plate and chassis, easy to install
【Great Design】: Pre-drilled countersunk holes (screws not included); Reinforced design with a non-slip surface
【Package Included】: 2 x 7"" Opening Size Bl"
41429_B07R645F4Z,41429,B07R645F4Z,floral baseball tee,"Zeagoo Women's Polka Dots Shirt Striped 3/4 Sleeve Casual Scoop Neck Tops Tee, Aqua Green, XX-Large",Zeagoo,"Material: 95% Polyester, 5% Spandex. Very comfy, soft, elastic fabric
Features: 3/4 Sleeve, Raglan Sleeve, Scoop Neck, Contrast Color, Loose Fit, Tunic Length, Casual, Fashionable
Unique Style: The baseball style top features a Solid body with striped and Polka Dots sleeves.They are super comfy and flattering on all body types
Occasion: This unique casual Polka dot striped t-shirt well with jeans "
101609_B07LB3YSHH,101609,B07LB3YSHH,teryx 4,"SuperATV Dark Tinted Roof for 2014+ Teryx 4 800 | 1/4"" Polycarbonate 250X Stronger Than Glass | Protects Against Weather and Debris | Snug, Rattle-Free Fit | USA Made!",SuperATV.com,"【Fits】2014+ Kawasaki Teryx 4 800 | Made in the USA! |Great for year-round use
【Enhanced Visibility】With a transparent Kawasaki Teryx Roof, you won't feel boxed in and have better awareness of what's around you. See what's up that hill or dune before you go up and keep your eye ahead on the trail when there's uneven terrain. It lets plenty of light in while still blocking harmful UV rays so you can"
