query_id,raw_query,query_length,split,selection_reason
6033,aarakocra miniature,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
7250,air buds,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
7328,air guns,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
7531,airpod2 wireless,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
8168,allen mandelbaum,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
8373,alto flute,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
9207,anime bedding,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
11032,attrition cd,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
11538,axio calm,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
11628,b-perky,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
11632,b000ap7v1q,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
11683,b52,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
11900,baby doppler,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
12415,backdrop,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
12503,backwash connector,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
12915,banana phone,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
14731,behringer headphone,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
17185,block table,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
18307,boogie scooper,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
19879,broadway hd,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
20419,build miniatures,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
20845,butter bronzer,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
21382,cajun seasoning,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
24664,challenger k1,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
25034,charred food,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
25752,chocolate sweets,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
27175,coaching confidence,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
28131,command shelfs,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
28323,computer,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
28847,cooler master אם'קר,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30019,creme fraiche,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30063,crewneck sweatshirt,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30099,cricut basswood,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30101,cricut create,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30327,cross trainer,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30462,cs,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
30897,cushion grip,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
31804,dbxing,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
32479,dermaplane glo,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
32836,dewalt flexvolt,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
34080,dk space,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
34530,dog rug,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
34913,dorm appliances,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
36500,easy hold,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
36827,ego charger,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
37666,enema bottles,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
37740,english saddle,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
38449,european nutella,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
38686,exploring magnets,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
38714,extendable straw,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
38861,extraction press,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
39087,fabric,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
39371,fake medals,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
39476,fall truck,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
40396,fingerboard,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
40567,fireplace stockings,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
40747,fishing knife,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
40749,fishing likes,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
41152,flavor ice,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
41539,flowerarrangement,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
41899,food,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
42179,formal cape,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
42856,frozen theme,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
43826,gacha life,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
44437,gardening hat,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
44822,gemini ailer,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
46097,glowstrike darts,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
47297,green dissolve,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
47506,grey sweater,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
47538,griddle hack,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
47566,grill plate,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
50768,hnbun,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
51252,hoot,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
52968,inc,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
55005,isocket 3g,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
55576,jaws,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
55923,jewelry bar,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
57084,kayak anchor,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
57458,keyboard,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
58398,kingwork,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
58401,kinks anthology,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
58436,kiss 3,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
63029,live animals,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
63120,llama pajamas,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
63352,lol furniture,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
64020,lsu,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
65113,makeup bases,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
66519,max outfit,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
68602,mi4 watch,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
68636,michael gelb,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
70721,mortrin infant,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
70964,motorhome pilloes,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
71042,mountaintop whitlow,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
71264,mrs fletcher,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
71807,my boyfriend,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
71925,mystflame,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
75102,odogaron figure,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
75377,olay whip,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
75493,olympic lanyard,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
75678,one wheel,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
75849,oppo mobail,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
76350,oscar square,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
77629,paparika,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
78094,patio bars,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
78148,patriotic men,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
79396,phantom quickdraw,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
79479,"pho,edit",2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
80097,pinched nerve,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
80949,plantronics cs510,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
80985,plastic babies,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
81740,pokemon cake,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
83112,premiere league,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
84425,pure curcumin,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
85189,racecar bed,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
85500,ram,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
85589,raptor fender,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
85732,raw milk,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
88821,rowboats,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
89412,ryze tello,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
91732,sensitive teeth,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
93072,shure sm7b,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
94218,skullgirls,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
95310,snapsies funko,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
95326,sneakers,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
97862,steampunk shoes,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
99620,swaggear,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
100299,tach adapter,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
100884,taysers,1,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
101515,tent octagon,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
101657,teton tent,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
102795,this storm,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
103101,tiger tattoo,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
104127,toosii tapestry,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
104713,tracxas 6wd,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
105326,tritton kunai,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
105629,tuck everlasting,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
105838,turtleneck romper,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
107500,usha village,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
107555,utsumi 299,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
107784,vampire cape,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
108859,virgin killer,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
109057,vlogging camera,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
109060,vlone shirt,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
109473,wall cubes,2,test,"random sample, seed=42, from test-split queries with 1-2 tokens (short/ambiguous queries per plan Step 9.1)"
