query_id,raw_query,prompt_version,raw_gpt_response,expanded_query_gpt,intent_gpt,category_gpt,uncertainty_gpt,review_decision,reviewed_query,review_reason,model_label,run_date,minutes_spent,parse_status
6033,aarakocra miniature,rewrite_v1,"{
  ""expanded_query"": ""aarakocra miniature"",
  ""intent"": ""transactional"",
  ""category"": ""miniatures"",
  ""uncertainty"": ""low""
}",aarakocra miniature,transactional,miniatures,low,accept,aarakocra miniature,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:41.898638+00:00,,valid
7250,air buds,rewrite_v1,"{
  ""expanded_query"": ""air buds"",
  ""intent"": ""transactional"",
  ""category"": ""earbuds"",
  ""uncertainty"": ""low""
}",air buds,transactional,earbuds,low,accept,air buds,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:42.997606+00:00,,valid
7328,air guns,rewrite_v1,"{
  ""expanded_query"": ""air guns"",
  ""intent"": ""transactional"",
  ""category"": ""air guns"",
  ""uncertainty"": ""low""
}",air guns,transactional,air guns,low,accept,air guns,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:43.960707+00:00,,valid
7531,airpod2 wireless,rewrite_v1,"{
  ""expanded_query"": ""AirPod 2 wireless"",
  ""intent"": ""transactional"",
  ""category"": ""wireless earbuds"",
  ""uncertainty"": ""low""
}",AirPod 2 wireless,transactional,wireless earbuds,low,accept,AirPod 2 wireless,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:45.023339+00:00,,valid
8168,allen mandelbaum,rewrite_v1,"{
  ""expanded_query"": ""Allen Mandelbaum"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",Allen Mandelbaum,informational,unknown,high,accept,allen mandelbaum,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:46.167253+00:00,,valid
8373,alto flute,rewrite_v1,"{
  ""expanded_query"": ""alto flute"",
  ""intent"": ""transactional"",
  ""category"": ""musical instruments"",
  ""uncertainty"": ""low""
}",alto flute,transactional,musical instruments,low,accept,alto flute,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:47.287622+00:00,,valid
9207,anime bedding,rewrite_v1,"{
  ""expanded_query"": ""anime themed bedding"",
  ""intent"": ""transactional"",
  ""category"": ""bedding"",
  ""uncertainty"": ""low""
}",anime themed bedding,transactional,bedding,low,accept,anime themed bedding,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:48.224867+00:00,,valid
11032,attrition cd,rewrite_v1,"{
  ""expanded_query"": ""Attrition CD"",
  ""intent"": ""informational"",
  ""category"": ""music album (CD)"",
  ""uncertainty"": ""medium""
}",Attrition CD,informational,music album (CD),medium,accept,attrition cd,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:49.304277+00:00,,valid
11538,axio calm,rewrite_v1,"{
  ""expanded_query"": ""axio calm"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""medium""
}",axio calm,transactional,unknown,medium,accept,axio calm,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:50.422292+00:00,,valid
11628,b-perky,rewrite_v1,"{
  ""expanded_query"": ""b-perky"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",b-perky,transactional,unknown,high,accept,b-perky,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:51.649147+00:00,,valid
